File Name,Format,Duration,Sample Rate,Codec,Channels
"audio_227.wav","wav","3.18","N/A","N/A","N/A"
"audio_228.wav","wav","3.925313","N/A","N/A","N/A"
"audio_229.wav","wav","2.496","N/A","N/A","N/A"
"audio_23.wav","wav","3.42","N/A","N/A","N/A"
"audio_230.wav","wav","1.728","N/A","N/A","N/A"
"audio_231.wav","wav","4.26","N/A","N/A","N/A"
"audio_232.wav","wav","2.645313","N/A","N/A","N/A"
"audio_233.wav","wav","3.3","N/A","N/A","N/A"
"audio_234.wav","wav","3.925313","N/A","N/A","N/A"
"audio_235.wav","wav","2.46","N/A","N/A","N/A"
"audio_236.wav","wav","2.709313","N/A","N/A","N/A"
"audio_237.wav","wav","3.989313","N/A","N/A","N/A"
"audio_238.wav","wav","4.650688","N/A","N/A","N/A"
"audio_239.wav","wav","4.010688","N/A","N/A","N/A"
"audio_24.wav","wav","2.368","N/A","N/A","N/A"
"audio_240.wav","wav","4.56","N/A","N/A","N/A"
"audio_241.wav","wav","1.749313","N/A","N/A","N/A"
"audio_242.wav","wav","3","N/A","N/A","N/A"
"audio_243.wav","wav","2.76","N/A","N/A","N/A"
"audio_244.wav","wav","3.48","N/A","N/A","N/A"
"audio_245.wav","wav","4.32","N/A","N/A","N/A"
"audio_246.wav","wav","8.58","N/A","N/A","N/A"
"audio_247.wav","wav","2.709313","N/A","N/A","N/A"
"audio_248.wav","wav","2.346688","N/A","N/A","N/A"
"audio_249.wav","wav","3.66","N/A","N/A","N/A"
"audio_25.wav","wav","1.98","N/A","N/A","N/A"
"audio_250.wav","wav","2.026688","N/A","N/A","N/A"
"audio_251.wav","wav","2.34","N/A","N/A","N/A"
"audio_252.wav","wav","2.773313","N/A","N/A","N/A"
"audio_253.wav","wav","4.26","N/A","N/A","N/A"
"audio_254.wav","wav","3.24","N/A","N/A","N/A"
"audio_255.wav","wav","5.397313","N/A","N/A","N/A"
"audio_256.wav","wav","2.581313","N/A","N/A","N/A"
"audio_257.wav","wav","2.82","N/A","N/A","N/A"
"audio_258.wav","wav","2.965313","N/A","N/A","N/A"
"audio_259.wav","wav","3.96","N/A","N/A","N/A"
"audio_26.wav","wav","4.5","N/A","N/A","N/A"
"audio_260.wav","wav","4.053313","N/A","N/A","N/A"
"audio_261.wav","wav","2.773313","N/A","N/A","N/A"
"audio_262.wav","wav","4.32","N/A","N/A","N/A"
"audio_263.wav","wav","1.941313","N/A","N/A","N/A"
"audio_264.wav","wav","4.32","N/A","N/A","N/A"
"audio_265.wav","wav","5.4","N/A","N/A","N/A"
"audio_266.wav","wav","6.18","N/A","N/A","N/A"
"audio_267.wav","wav","3.6","N/A","N/A","N/A"
"audio_268.wav","wav","2.04","N/A","N/A","N/A"
"audio_269.wav","wav","3.24","N/A","N/A","N/A"
"audio_27.wav","wav","6.72","N/A","N/A","N/A"
"audio_270.wav","wav","2.94","N/A","N/A","N/A"
"audio_271.wav","wav","3.42","N/A","N/A","N/A"
"audio_272.wav","wav","4.053313","N/A","N/A","N/A"
"audio_273.wav","wav","1.813313","N/A","N/A","N/A"
"audio_28.wav","wav","3.42","N/A","N/A","N/A"
"audio_29.wav","wav","2.133313","N/A","N/A","N/A"
"audio_3.wav","wav","3.84","N/A","N/A","N/A"
"audio_30.wav","wav","6.06","N/A","N/A","N/A"
"audio_31.wav","wav","2.261313","N/A","N/A","N/A"
"audio_32.wav","wav","1.38","N/A","N/A","N/A"
"audio_33.wav","wav","1.984","N/A","N/A","N/A"
"audio_34.wav","wav","2.816","N/A","N/A","N/A"
"audio_35.wav","wav","3.541313","N/A","N/A","N/A"
"audio_36.wav","wav","2.005313","N/A","N/A","N/A"
"audio_37.wav","wav","4.32","N/A","N/A","N/A"
"audio_38.wav","wav","3.78","N/A","N/A","N/A"
"audio_39.wav","wav","8.28","N/A","N/A","N/A"
"audio_4.wav","wav","6.78","N/A","N/A","N/A"
"audio_40.wav","wav","1.86","N/A","N/A","N/A"
"audio_41.wav","wav","4.32","N/A","N/A","N/A"
"audio_42.wav","wav","3.456","N/A","N/A","N/A"
"audio_43.wav","wav","2.28","N/A","N/A","N/A"
"audio_44.wav","wav","2.794688","N/A","N/A","N/A"
"audio_45.wav","wav","2.88","N/A","N/A","N/A"
"audio_46.wav","wav","2.94","N/A","N/A","N/A"
"audio_47.wav","wav","3","N/A","N/A","N/A"
"audio_48.wav","wav","5.04","N/A","N/A","N/A"
"audio_49.wav","wav","2.88","N/A","N/A","N/A"
"audio_5.wav","wav","2.816","N/A","N/A","N/A"
"audio_50.wav","wav","1.5","N/A","N/A","N/A"
"audio_51.wav","wav","3.06","N/A","N/A","N/A"
"audio_52.wav","wav","3.96","N/A","N/A","N/A"
"audio_53.wav","wav","2.922688","N/A","N/A","N/A"
"audio_54.wav","wav","1.98","N/A","N/A","N/A"
"audio_55.wav","wav","4.14","N/A","N/A","N/A"
"audio_56.wav","wav","3.12","N/A","N/A","N/A"
"audio_57.wav","wav","5.88","N/A","N/A","N/A"
"audio_58.wav","wav","5.781313","N/A","N/A","N/A"
"audio_59.wav","wav","2.76","N/A","N/A","N/A"
"audio_6.wav","wav","1.962688","N/A","N/A","N/A"
"audio_60.wav","wav","1.770688","N/A","N/A","N/A"
"audio_61.wav","wav","3.754688","N/A","N/A","N/A"
